,aracore_ids,aracore_name,aracore_annotations,symbol,chr,start,end,description,ncbigene,gene_name,uniprot_id
41,AT1G70760,AT1G70760,{},ndhL,1,26687202.0,26688384.0,"NAD(P)H-quinone oxidoreductase subunit L, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9CAC5]",843413.0,"NAD(P)H-quinone oxidoreductase subunit L, chloroplastic ",Q9CAC5
42,ATCG01100,ATCG01100,{},NDHA,Pt,119847.0,122009.0,"NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q37165]",844804.0,"NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic ",Q37165
43,ATCG00890,ATCG00890,{},NDHB.1,Pt,94941.0,96795.0,NADH-Ubiquinone/plastoquinone (complex I) protein [Source:TAIR;Acc:ATCG00890],,NADH-Ubiquinone/plastoquinone (complex I) protein ,ATCG00890
44,AT5G43750,AT5G43750,{},PNSB5,5,17579867.0,17581275.0,PnsB5 [Source:UniProtKB/TrEMBL;Acc:A0A178UJI2],834396.0,PnsB5 ,A0A178UJI2
45,AT1G74880,AT1G74880,{},ndhO,1,28129828.0,28131077.0,"NAD(P)H-quinone oxidoreductase subunit O, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9S829]",843827.0,"NAD(P)H-quinone oxidoreductase subunit O, chloroplastic ",Q9S829
46,ATCG00430,ATCG00430,{},NDHK,Pt,49257.0,49934.0,"NAD(P)H-quinone oxidoreductase subunit K, chloroplastic [Source:UniProtKB/TrEMBL;Acc:A0A1B1W4U5]",844761.0,"NAD(P)H-quinone oxidoreductase subunit K, chloroplastic ",A0A1B1W4U5
47,AT4G37925,AT4G37925,{},NDHM,4,17830533.0,17831619.0,"NAD(P)H-quinone oxidoreductase subunit M, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q2V2S7]",3770591.0,"NAD(P)H-quinone oxidoreductase subunit M, chloroplastic ",Q2V2S7
48,ATCG01080,ATCG01080,{},NDHG,Pt,118377.0,118907.0,"NAD(P)H-quinone oxidoreductase subunit 6, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q95695]",844739.0,"NAD(P)H-quinone oxidoreductase subunit 6, chloroplastic ",Q95695
49,AT1G15980,AT1G15980,{},PNSB1,1,5489145.0,5491363.0,"Photosynthetic NDH subunit of subcomplex B 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9S9N6]",838168.0,"Photosynthetic NDH subunit of subcomplex B 1, chloroplastic ",Q9S9N6
50,AT4G39710,AT4G39710,{},PNSL4,4,18426492.0,18428578.0,"Photosynthetic NDH subunit of lumenal location 4, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SCY3]",830126.0,"Photosynthetic NDH subunit of lumenal location 4, chloroplastic ",Q9SCY3
51,AT1G18730,AT1G18730,{},PNSB4,1,6460403.0,6462344.0,"Photosynthetic NDH subunit of subcomplex B 4, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8RXS1]",838455.0,"Photosynthetic NDH subunit of subcomplex B 4, chloroplastic ",Q8RXS1
52,AT3G01440,AT3G01440,{},PNSL3,3,168408.0,169662.0,"Photosynthetic NDH subunit of lumenal location 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SGH4]",821143.0,"Photosynthetic NDH subunit of lumenal location 3, chloroplastic ",Q9SGH4
53,ATCG01110,ATCG01110,{},NDHH,Pt,122011.0,123192.0,"NAD(P)H-quinone oxidoreductase subunit H, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P56753]",844805.0,"NAD(P)H-quinone oxidoreductase subunit H, chloroplastic ",P56753
54,ATCG01070,ATCG01070,{},NDHE,Pt,117804.0,118109.0,"NAD(P)H-quinone oxidoreductase subunit 4L, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P26289]",844741.0,"NAD(P)H-quinone oxidoreductase subunit 4L, chloroplastic ",P26289
55,AT5G13120,AT5G13120,{},PNSL5,5,4162374.0,4164923.0,Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A178UN74],831151.0,Peptidyl-prolyl cis-trans isomerase ,A0A178UN74
56,ATCG01010,ATCG01010,{},NDHF,Pt,110398.0,112638.0,"NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P56752]",844705.0,"NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic ",P56752
57,ATCG00420,ATCG00420,{},NDHJ,Pt,48677.0,49153.0,"NAD(P)H-quinone oxidoreductase subunit J, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P56754]",844763.0,"NAD(P)H-quinone oxidoreductase subunit J, chloroplastic ",P56754
58,ATCG01050,ATCG01050,{},NDHD,Pt,115665.0,117185.0,NADH-Ubiquinone/plastoquinone (complex I) protein [Source:TAIR;Acc:ATCG01050],,NADH-Ubiquinone/plastoquinone (complex I) protein ,ATCG01050
59,AT2G39470,AT2G39470,{},PNSL1,2,16476198.0,16477843.0,"Photosynthetic NDH subunit of lumenal location 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O80634]",818532.0,"Photosynthetic NDH subunit of lumenal location 1, chloroplastic ",O80634
60,AT3G16250,AT3G16250,{},PNSB3,3,5506931.0,5508414.0,"Photosynthetic NDH subunit of subcomplex B 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LU21]",820871.0,"Photosynthetic NDH subunit of subcomplex B 3, chloroplastic ",Q9LU21
61,AT4G02770,AT4G02770,{},PSAD1,4,1229031.0,1230164.0,"Photosystem I reaction center subunit II-1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9S7H1]",828183.0,"Photosystem I reaction center subunit II-1, chloroplastic ",Q9S7H1
62,AT1G08380,AT1G08380,{},PSAO,1,2640803.0,2641934.0,PSAO [Source:UniProtKB/TrEMBL;Acc:A0A178W5Y5],837358.0,PSAO ,A0A178W5Y5
63,AT2G20260,AT2G20260,{},PSAE2,2,8736734.0,8737767.0,"Photosystem I reaction center subunit IV B, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9S714]",816545.0,"Photosystem I reaction center subunit IV B, chloroplastic ",Q9S714
64,AT1G03130,AT1G03130,{},PSAD2,1,753307.0,754262.0,"Photosystem I reaction center subunit II-2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SA56]",838400.0,"Photosystem I reaction center subunit II-2, chloroplastic ",Q9SA56
65,AT1G31330,AT1G31330,{},PSAF,1,11214676.0,11216141.0,"Photosystem I reaction center subunit III, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SHE8]",840021.0,"Photosystem I reaction center subunit III, chloroplastic ",Q9SHE8
66,AT2G46820,AT2G46820,{},CURT1B,2,19243348.0,19245141.0,"Protein CURVATURE THYLAKOID 1B, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8LCA1]",819295.0,"Protein CURVATURE THYLAKOID 1B, chloroplastic ",Q8LCA1
67,ATCG00630,ATCG00630,{},PSAJ,Pt,66929.0,67063.0,Photosystem I reaction center subunit IX [Source:UniProtKB/TrEMBL;Acc:A0A1B1W4W1],844738.0,Photosystem I reaction center subunit IX ,A0A1B1W4W1
68,ATCG00340,ATCG00340,{},PSAB,Pt,37375.0,39579.0,Photosystem I P700 chlorophyll a apoprotein A2 [Source:UniProtKB/TrEMBL;Acc:A0A1B1W4U2],844770.0,Photosystem I P700 chlorophyll a apoprotein A2 ,A0A1B1W4U2
69,ATCG00350,ATCG00350,{},PSAA,Pt,39605.0,41857.0,Photosystem I P700 chlorophyll a apoprotein A1 [Source:UniProtKB/Swiss-Prot;Acc:P56766],844768.0,Photosystem I P700 chlorophyll a apoprotein A1 ,P56766
70,AT1G30380,AT1G30380,{},PSAK,1,10722183.0,10723247.0,"Photosystem I reaction center subunit psaK, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SUI5]",839918.0,"Photosystem I reaction center subunit psaK, chloroplastic ",Q9SUI5
71,AT4G12800,AT4G12800,{},PSAL,4,7521257.0,7522761.0,photosystem I subunit l [Source:TAIR;Acc:AT4G12800],826892.0,photosystem I subunit l ,AT4G12800
72,ATCG01060,ATCG01060,{},PSAC,Pt,117318.0,117563.0,Photosystem I iron-sulfur center [Source:UniProtKB/Swiss-Prot;Acc:P62090],844750.0,Photosystem I iron-sulfur center ,P62090
73,AT3G16140,AT3G16140,{},PSAH1,3,5467987.0,5469594.0,"Photosystem I reaction center subunit VI-1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SUI7]",820859.0,"Photosystem I reaction center subunit VI-1, chloroplastic ",Q9SUI7
74,AT1G55670,AT1G55670,{},PSAG,1,20802670.0,20803449.0,"Photosystem I reaction center subunit V, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9S7N7]",842016.0,"Photosystem I reaction center subunit V, chloroplastic ",Q9S7N7
75,AT4G28750,AT4G28750,{},PSAE1,4,14202758.0,14204061.0,"Photosystem I reaction center subunit IV A, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9S831]",828996.0,"Photosystem I reaction center subunit IV A, chloroplastic ",Q9S831
76,ATCG00510,ATCG00510,{},PSAI,Pt,59247.0,59360.0,Photosystem I reaction center subunit VIII [Source:UniProtKB/TrEMBL;Acc:A0A1B1W4U9],844753.0,Photosystem I reaction center subunit VIII ,A0A1B1W4U9
77,AT5G64040,AT5G64040,{},PSAN,5,25628521.0,25629708.0,"Photosystem I reaction center subunit PSI-N, chloroplast, putative / PSI-N, putative (PSAN) [Source:UniProtKB/TrEMBL;Acc:F4KC80]",836525.0,"Photosystem I reaction center subunit PSI-N, chloroplast, putative / PSI-N, putative (PSAN) ",F4KC80
78,AT1G52230,AT1G52230,{},PSAH2,1,19454798.0,19455668.0,"Photosystem I reaction center subunit VI-2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SUI6]",841653.0,"Photosystem I reaction center subunit VI-2, chloroplastic ",Q9SUI6
79,AT1G20020,AT1G20020,{},LFNR2,1,6942625.0,6945091.0,"Ferredoxin--NADP reductase, leaf isozyme 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8W493]",838591.0,"Ferredoxin--NADP reductase, leaf isozyme 2, chloroplastic ",Q8W493
80,AT4G05390,AT4G05390,{},RFNR1,4,2738531.0,2740927.0,"Ferredoxin--NADP reductase, root isozyme 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9M0V6]",825887.0,"Ferredoxin--NADP reductase, root isozyme 1, chloroplastic ",Q9M0V6
81,AT1G30510,AT1G30510,{},RFNR2,1,10806930.0,10809188.0,"Ferredoxin--NADP reductase, root isozyme 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9S9P8]",839930.0,"Ferredoxin--NADP reductase, root isozyme 2, chloroplastic ",Q9S9P8
82,AT5G66190,AT5G66190,{},LFNR1,5,26450964.0,26453199.0,"Ferredoxin--NADP reductase, leaf isozyme 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9FKW6]",836751.0,"Ferredoxin--NADP reductase, leaf isozyme 1, chloroplastic ",Q9FKW6
83,AT1G15700,AT1G15700,{},ATPC2,1,5402569.0,5403818.0,"ATP synthase gamma chain 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q01909]",838139.0,"ATP synthase gamma chain 2, chloroplastic ",Q01909
84,ATCG00470,ATCG00470,{},ATPE,Pt,52265.0,52663.0,"ATP synthase epsilon chain, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P09468]",844758.0,"ATP synthase epsilon chain, chloroplastic ",P09468
85,ATCG00140,ATCG00140,{},ATPH,Pt,13262.0,13507.0,"ATP synthase subunit c, chloroplastic [Source:UniProtKB/TrEMBL;Acc:A0A1B1W4S3]",844788.0,"ATP synthase subunit c, chloroplastic ",A0A1B1W4S3
86,ATCG00480,ATCG00480,{},ATPB,Pt,52660.0,54156.0,"ATP synthase subunit beta, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P19366]",844757.0,"ATP synthase subunit beta, chloroplastic ",P19366
87,AT4G04640,AT4G04640,{},ATPC1,4,2350498.0,2352025.0,"ATP synthase gamma chain 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q01908]",825797.0,"ATP synthase gamma chain 1, chloroplastic ",Q01908
88,ATCG00150,ATCG00150,{},ATPI,Pt,14021.0,14770.0,"ATP synthase subunit a, chloroplastic [Source:UniProtKB/TrEMBL;Acc:A0A1B1W4S9]",844787.0,"ATP synthase subunit a, chloroplastic ",A0A1B1W4S9
89,ATCG00120,ATCG00120,{},ATPA,Pt,9938.0,11461.0,"ATP synthase subunit alpha, chloroplastic [Source:UniProtKB/TrEMBL;Acc:A0A1B1W4S8]",844790.0,"ATP synthase subunit alpha, chloroplastic ",A0A1B1W4S8
90,ATCG00130,ATCG00130,{},ATPF,Pt,11529.0,12798.0,"ATP synthase subunit b, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P56759]",844789.0,"ATP synthase subunit b, chloroplastic ",P56759
91,AT4G09650,AT4G09650,{},ATPD,4,6100714.0,6101864.0,PDE332 [Source:UniProtKB/TrEMBL;Acc:A0A178V1L3],826551.0,PDE332 ,A0A178V1L3
92,AT1G67090,AT1G67090,{},RBCS-1A,1,25048158.0,25049667.0,Ribulose bisphosphate carboxylase small chain [Source:UniProtKB/TrEMBL;Acc:A0A178WD57],843029.0,Ribulose bisphosphate carboxylase small chain ,A0A178WD57
93,ATCG00490,ATCG00490,{},RBCL,Pt,54958.0,56397.0,Ribulose bisphosphate carboxylase large chain [Source:UniProtKB/Swiss-Prot;Acc:O03042],844754.0,Ribulose bisphosphate carboxylase large chain ,O03042
94,AT5G38410,AT5G38410,{},,5.0,15376988.0,15378642.0,Ribulose bisphosphate carboxylase small chain [Source:UniProtKB/TrEMBL;Acc:B3H5S2],833828.0,Ribulose bisphosphate carboxylase small chain ,B3H5S2
95,AT5G38420,AT5G38420,{},RBCS-2B,5,15380907.0,15382071.0,"Ribulose bisphosphate carboxylase small chain 2B, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P10797]",833829.0,"Ribulose bisphosphate carboxylase small chain 2B, chloroplastic ",P10797
96,AT5G38430,AT5G38430,{},RBCS-1B,5,15383167.0,15385320.0,"Ribulose bisphosphate carboxylase small chain 1B, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P10796]",833830.0,"Ribulose bisphosphate carboxylase small chain 1B, chloroplastic ",P10796
97,AT1G79550,AT1G79550,{},PGK3,1,29924023.0,29926636.0,Phosphoglycerate kinase [Source:UniProtKB/TrEMBL;Acc:A0A178WHC3],844293.0,Phosphoglycerate kinase ,A0A178WHC3
98,AT1G56190,AT1G56190,{},,1.0,21028137.0,21030684.0,Phosphoglycerate kinase [Source:UniProtKB/TrEMBL;Acc:A0A178W4Q1],842072.0,Phosphoglycerate kinase ,A0A178W4Q1
99,AT3G12780,AT3G12780,{},PGK1,3,4060920.0,4063306.0,Phosphoglycerate kinase [Source:UniProtKB/TrEMBL;Acc:A0A178V5M8],820461.0,Phosphoglycerate kinase ,A0A178V5M8
100,AT1G42970,AT1G42970,{},GAPB,1,16127353.0,16129895.0,"Glyceraldehyde-3-phosphate dehydrogenase GAPB, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P25857]",840895.0,"Glyceraldehyde-3-phosphate dehydrogenase GAPB, chloroplastic ",P25857
101,AT1G12900,AT1G12900,{},GAPA-2,1,4392438.0,4394454.0,glyceraldehyde 3-phosphate dehydrogenase A subunit 2 [Source:TAIR;Acc:AT1G12900],837848.0,glyceraldehyde 3-phosphate dehydrogenase A subunit 2 ,AT1G12900
102,AT3G26650,AT3G26650,{},GAPA1,3,9794862.0,9797045.0,"Glyceraldehyde-3-phosphate dehydrogenase GAPA1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P25856]",822277.0,"Glyceraldehyde-3-phosphate dehydrogenase GAPA1, chloroplastic ",P25856
103,AT3G55440,AT3G55440,{},CTIMC,3,20553403.0,20556560.0,"Triosephosphate isomerase, cytosolic [Source:UniProtKB/Swiss-Prot;Acc:P48491]",824710.0,"Triosephosphate isomerase, cytosolic ",P48491
104,AT2G21170,AT2G21170,{},TIM,2,9070734.0,9074470.0,TIM [Source:UniProtKB/TrEMBL;Acc:A0A178VN28],816652.0,TIM ,A0A178VN28
105,AT4G26530,AT4G26530,{},FBA5,4,13390754.0,13393265.0,Fructose-bisphosphate aldolase [Source:UniProtKB/TrEMBL;Acc:A0A178V385],828759.0,Fructose-bisphosphate aldolase ,A0A178V385
106,AT2G21330,AT2G21330,{},FBA1,2,9128122.0,9130619.0,"Fructose-bisphosphate aldolase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SJU4]",816672.0,"Fructose-bisphosphate aldolase 1, chloroplastic ",Q9SJU4
107,AT2G01140,AT2G01140,{},FBA3,2,94727.0,96863.0,"Fructose-bisphosphate aldolase 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9ZU52]",814643.0,"Fructose-bisphosphate aldolase 3, chloroplastic ",Q9ZU52
108,AT4G38970,AT4G38970,{},FBA2,4,18163496.0,18166008.0,Fructose-bisphosphate aldolase [Source:UniProtKB/TrEMBL;Acc:A0A178UW98],830052.0,Fructose-bisphosphate aldolase ,A0A178UW98
109,AT3G52930,AT3G52930,{},FBA8,3,19626748.0,19629204.0,Fructose-bisphosphate aldolase [Source:UniProtKB/TrEMBL;Acc:A0A178V8L4],824459.0,Fructose-bisphosphate aldolase ,A0A178V8L4
110,AT3G54050,AT3G54050,{},CFBP1,3,20016837.0,20018822.0,"Fructose-1,6-bisphosphatase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P25851]",824572.0,"Fructose-1,6-bisphosphatase 1, chloroplastic ",P25851
111,AT2G45290,AT2G45290,{},TKL-2,2,18672497.0,18676484.0,"Transketolase-2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:F4IW47]",819137.0,"Transketolase-2, chloroplastic ",F4IW47
